symbol,company_name,exchange,sector,type,yahoo_symbol,isin
^BSE500,BSE 500,BSE,Index,INDEX,^BSE500,
^BSESN,BSE SENSEX,BSE,Index,INDEX,^BSESN,
^CNXAUTO,NIFTY AUTO,NSE,Index,INDEX,^CNXAUTO,
^CNXIT,NIFTY IT,NSE,Index,INDEX,^CNXIT,
^CNXPHARMA,NIFTY PHARMA,NSE,Index,INDEX,^CNXPHARMA,
^CNXREALTY,NIFTY REALTY,NSE,Index,INDEX,^CNXREALTY,
^NSEBANK,NIFTY BANK,NSE,Index,INDEX,^NSEBANK,
^NSEI,NIFTY 50,NSE,Index,INDEX,^NSEI,
20MICRONS,20 Microns Limited,NSE,Equity,STOCK,20MICRONS.NS,INE144J01027
21STCENMGM,21st Century Management Services Limited,NSE,Equity,STOCK,21STCENMGM.NS,INE253B01015
360ONE,360 ONE WAM LIMITED,NSE,Equity,STOCK,360ONE.NS,INE466L01038
3BBLACKBIO,3B Blackbio Dx Limited,NSE,Equity,STOCK,3BBLACKBIO.NS,INE994E01018
3IINFOLTD,3i Infotech Limited,NSE,Equity,STOCK,3IINFOLTD.NS,INE748C01038
3MINDIA,3M India Limited,NSE,Equity,STOCK,3MINDIA.NS,INE470A01017
3PLAND,3P Land Holdings Limited,NSE,Equity,STOCK,3PLAND.NS,INE105C01023
5PAISA,5Paisa Capital Limited,NSE,Equity,STOCK,5PAISA.NS,INE618L01018
63MOONS,63 moons technologies limited,NSE,Equity,STOCK,63MOONS.NS,INE111B01023
AAATECH,AAA Technologies Limited,NSE,Equity,STOCK,AAATECH.NS,INE0D0U01013
AADHARHFC,Aadhar Housing Finance Limited,NSE,Equity,STOCK,AADHARHFC.NS,INE883F01010
AARNAV,Aarnav Fashions Limited,NSE,Equity,STOCK,AARNAV.NS,INE750R01016
AARON,Aaron Industries Limited,NSE,Equity,STOCK,AARON.NS,INE721Z01010
AARTECH,Aartech Solonics Limited,NSE,Equity,STOCK,AARTECH.NS,INE01C001026
AARTIDRUGS,Aarti Drugs Limited,NSE,Equity,STOCK,AARTIDRUGS.NS,INE767A01016
AARTIIND,Aarti Industries Limited,NSE,Equity,STOCK,AARTIIND.NS,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,NSE,Equity,STOCK,AARTIPHARM.NS,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,NSE,Equity,STOCK,AARTISURF.NS,INE09EO01013
AARVI,Aarvi Encon Limited,NSE,Equity,STOCK,AARVI.NS,INE754X01016
AAVAS,Aavas Financiers Limited,NSE,Equity,STOCK,AAVAS.NS,INE216P01012
ABB,ABB India Limited,NSE,Equity,STOCK,ABB.NS,INE117A01022
ABBOTINDIA,Abbott India Limited,NSE,Equity,STOCK,ABBOTINDIA.NS,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,NSE,Equity,STOCK,ABCAPITAL.NS,INE674K01013
ABCOTS,A B Cotspin India Limited,NSE,Equity,STOCK,ABCOTS.NS,INE08PH01015
ABDL,Allied Blenders and Distillers Limited,NSE,Equity,STOCK,ABDL.NS,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Limited,NSE,Equity,STOCK,ABFRL.NS,INE647O01011
ABINFRA,A B Infrabuild Limited,NSE,Equity,STOCK,ABINFRA.NS,INE00YB01025
ABLBL,Aditya Birla Lifestyle Brands Limited,NSE,Equity,STOCK,ABLBL.NS,INE14LE01019
ABMKNO,ABM Knowledgeware Limited,NSE,Equity,STOCK,ABMKNO.NS,INE850B01026
ABREL,Aditya Birla Real Estate Limited,NSE,Equity,STOCK,ABREL.NS,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE,Equity,STOCK,ABSLAMC.NS,INE404A01024
ACC,ACC Limited,NSE,Equity,STOCK,ACC.NS,INE012A01025
ACCELYA,Accelya Solutions India Limited,NSE,Equity,STOCK,ACCELYA.NS,INE793A01012
ACE,Action Construction Equipment Limited,NSE,Equity,STOCK,ACE.NS,INE731H01025
ACEINTEG,Ace Integrated Solutions Limited,NSE,Equity,STOCK,ACEINTEG.NS,INE543V01017
ACI,Archean Chemical Industries Limited,NSE,Equity,STOCK,ACI.NS,INE128X01021
ACL,Andhra Cements Limited,NSE,Equity,STOCK,ACL.NS,INE666E01020
ACMESOLAR,Acme Solar Holdings Limited,NSE,Equity,STOCK,ACMESOLAR.NS,INE622W01025
ACSTECH,ACS Technologies Limited,NSE,Equity,STOCK,ACSTECH.NS,INE366C01021
ACUTAAS,Acutaas Chemicals Limited,NSE,Equity,STOCK,ACUTAAS.NS,INE00FF01025
ADANIENSOL,Adani Energy Solutions Limited,NSE,Equity,STOCK,ADANIENSOL.NS,INE931S01010
ADANIENT,Adani Enterprises Limited,NSE,Equity,STOCK,ADANIENT.NS,INE423A01024
ADANIGREEN,Adani Green Energy Limited,NSE,Equity,STOCK,ADANIGREEN.NS,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE,Equity,STOCK,ADANIPORTS.NS,INE742F01042
ADANIPOWER,Adani Power Limited,NSE,Equity,STOCK,ADANIPOWER.NS,INE814H01029
ADFFOODS,ADF Foods Limited,NSE,Equity,STOCK,ADFFOODS.NS,INE982B01027
ADL,Archidply Decor Limited,NSE,Equity,STOCK,ADL.NS,INE0CHO01012
ADOR,Ador Welding Limited,NSE,Equity,STOCK,ADOR.NS,INE045A01017
ADROITINFO,Adroit Infotech Limited,NSE,Equity,STOCK,ADROITINFO.NS,INE737B01033
ADSL,Allied Digital Services Limited,NSE,Equity,STOCK,ADSL.NS,INE102I01027
ADVAIT,Advait Energy Transitions Limited,NSE,Equity,STOCK,ADVAIT.NS,INE0ALI01010
ADVANCE,Advance Agrolife Limited,NSE,Equity,STOCK,ADVANCE.NS,INE1B0W01010
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE,Equity,STOCK,ADVANIHOTR.NS,INE199C01026
ADVENTHTL,Advent Hotels International Limited,NSE,Equity,STOCK,ADVENTHTL.NS,INE28GN01010
ADVENZYMES,Advanced Enzyme Technologies Limited,NSE,Equity,STOCK,ADVENZYMES.NS,INE837H01020
AEGISLOG,Aegis Logistics Limited,NSE,Equity,STOCK,AEGISLOG.NS,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals Limited,NSE,Equity,STOCK,AEGISVOPAK.NS,INE0INX01018
AEQUS,Aequs Limited,NSE,Equity,STOCK,AEQUS.NS,INE947N01017
AEROENTER,Aeroflex Enterprises Limited,NSE,Equity,STOCK,AEROENTER.NS,INE065D01027
AEROFLEX,Aeroflex Industries Limited,NSE,Equity,STOCK,AEROFLEX.NS,INE024001021
AERONEU,Aeroflex Neu Limited,NSE,Equity,STOCK,AERONEU.NS,INE035801013
AETHER,Aether Industries Limited,NSE,Equity,STOCK,AETHER.NS,INE0BWX01014
AFCONS,Afcons Infrastructure Limited,NSE,Equity,STOCK,AFCONS.NS,INE101I01011
AFFLE,Affle 3i Limited,NSE,Equity,STOCK,AFFLE.NS,INE00WC01027
AFSL,Abans Financial Services Limited,NSE,Equity,STOCK,AFSL.NS,INE00ZE01026
AGARIND,Agarwal Industrial Corporation Limited,NSE,Equity,STOCK,AGARIND.NS,INE204E01012
AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE,Equity,STOCK,AGARWALEYE.NS,INE943P01029
AGI,AGI Greenpac Limited,NSE,Equity,STOCK,AGI.NS,INE415A01038
AGIIL,Agi Infra Limited,NSE,Equity,STOCK,AGIIL.NS,INE976R01033
AGRITECH,Agri-Tech (India) Limited,NSE,Equity,STOCK,AGRITECH.NS,INE449G01018
AGROPHOS,Agro Phos India Limited,NSE,Equity,STOCK,AGROPHOS.NS,INE740V01019
AHCL,Anlon Healthcare Limited,NSE,Equity,STOCK,AHCL.NS,INE0Y8W01025
AHLADA,Ahlada Engineers Limited,NSE,Equity,STOCK,AHLADA.NS,INE00PV01013
AHLEAST,Asian Hotels (East) Limited,NSE,Equity,STOCK,AHLEAST.NS,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE,Equity,STOCK,AHLUCONT.NS,INE758C01029
AIAENG,AIA Engineering Limited,NSE,Equity,STOCK,AIAENG.NS,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,NSE,Equity,STOCK,AIIL.NS,INE206F01022
AIRAN,Airan Limited,NSE,Equity,STOCK,AIRAN.NS,INE645W01026
AIROLAM,Airo Lam limited,NSE,Equity,STOCK,AIROLAM.NS,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,NSE,Equity,STOCK,AJANTPHARM.NS,INE031B01049
AJAXENGG,Ajax Engineering Limited,NSE,Equity,STOCK,AJAXENGG.NS,INE274Y01021
AJMERA,Ajmera Realty & Infra India Limited,NSE,Equity,STOCK,AJMERA.NS,INE298G01035
AJOONI,Ajooni Biotech Limited,NSE,Equity,STOCK,AJOONI.NS,INE820Y01021
AKASH,Akash Infra-Projects Limited,NSE,Equity,STOCK,AKASH.NS,INE737W01013
AKCAPIT,AK Capital Services Limited,NSE,Equity,STOCK,AKCAPIT.NS,INE701G01012
AKG,Akg Exim Limited,NSE,Equity,STOCK,AKG.NS,INE00Y801016
AKI,AKI India Limited,NSE,Equity,STOCK,AKI.NS,INE642Z01026
AKSHAR,Akshar Spintex Limited,NSE,Equity,STOCK,AKSHAR.NS,INE256Z01025
AKSHARCHEM,AksharChem India Limited,NSE,Equity,STOCK,AKSHARCHEM.NS,INE542B01011
AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE,Equity,STOCK,AKUMS.NS,INE09XN01023
ALANKIT,Alankit Limited,NSE,Equity,STOCK,ALANKIT.NS,INE914E01040
ALBERTDAVD,Albert David Limited,NSE,Equity,STOCK,ALBERTDAVD.NS,INE155C01010
